ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
1,hand-1,,,data,1277,HAND
2,hand-2,,,data,1277,HAND
3,hand-3,,,data,1277,HAND
4,hand-4,,,data,1277,HAND
5,hand-5,,,data,1277,HAND
6,hand-6,,,data,1277,HAND
7,hand-7,,,data,1277,HAND
8,hand-8,,,data,1277,HAND
9,hand-9,,,data,1277,HAND
10,hand-10,,,data,1277,HAND
11,hand-11,,,data,1277,HAND
12,hand-12,,,data,1277,HAND
13,hand-13,,,data,1277,HAND
14,hand-14,,,data,1277,HAND
15,hand-15,,,data,1277,HAND
16,hand-16,,,data,1277,HAND
17,hand-17,,,data,1277,HAND
18,hand-18,,,data,1277,HAND
19,hand-19,,,data,1277,HAND
20,hand-20,,,data,1277,HAND
21,hand-21,,,data,1277,HAND
22,hand-22,,,data,1277,HAND
23,hand-23,,,data,1277,HAND
24,hand-24,,,data,1277,HAND
25,hand-25,,,data,1277,HAND
26,hand-26,,,data,1277,HAND
27,hand-27,,,data,1277,HAND
28,hand-28,,,data,1277,HAND
29,hand-29,,,data,1277,HAND
30,hand-30,,,data,1277,HAND
31,hand-31,,,data,1277,HAND
32,hand-32,,,data,1277,HAND
33,hand-33,,,data,1277,HAND
34,hand-34,,,data,1277,HAND
35,hand-35,,,data,1277,HAND
36,hand-36,,,data,1277,HAND
37,hand-37,,,data,1277,HAND
38,hand-38,,,data,1277,HAND
39,hand-39,,,data,1277,HAND
40,hand-40,,,data,1277,HAND
41,hand-41,,,data,1277,HAND
42,hand-42,,,data,1277,HAND
43,hand-43,,,data,1277,HAND
44,hand-44,,,data,1277,HAND
45,hand-45,,,data,1277,HAND
46,hand-46,,,data,1277,HAND
47,hand-47,,,data,1277,HAND
48,hand-48,,,data,1277,HAND
49,hand-49,,,data,1277,HAND
50,hand-50,,,data,1277,HAND
51,hand-51,,,data,1277,HAND
52,hand-52,,,data,1277,HAND
53,hand-53,,,data,1277,HAND
54,hand-54,,,data,1277,HAND
55,hand-55,,,data,1277,HAND
56,hand-56,,,data,1277,HAND
57,hand-57,,,data,1277,HAND
58,hand-58,,,data,1277,HAND
59,hand-59,,,data,1277,HAND
60,hand-60,,,data,1277,HAND
61,hand-61,,,data,1277,HAND
62,hand-62,,,data,1277,HAND
63,hand-63,,,data,1277,HAND
64,hand-64,,,data,1277,HAND
65,hand-65,,,data,1277,HAND
66,hand-66,,,data,1277,HAND
67,hand-67,,,data,1277,HAND
68,hand-68,,,data,1277,HAND
69,hand-69,,,data,1277,HAND
70,hand-70,,,data,1277,HAND
71,hand-71,,,data,1277,HAND
72,hand-72,,,data,1277,HAND
73,hand-73,,,data,1277,HAND
74,hand-74,,,data,1277,HAND
75,hand-75,,,data,1277,HAND
76,hand-76,,,data,1277,HAND
77,hand-77,,,data,1277,HAND
78,hand-78,,,data,1277,HAND
79,hand-79,,,data,1277,HAND
80,hand-80,,,data,1277,HAND
81,hand-81,,,data,1277,HAND
82,hand-82,,,data,1277,HAND
83,hand-83,,,data,1277,HAND
84,hand-84,,,data,1277,HAND
85,hand-85,,,data,1277,HAND
86,hand-86,,,data,1277,HAND
87,hand-87,,,data,1277,HAND
88,hand-88,,,data,1277,HAND
89,hand-89,,,data,1277,HAND
90,hand-90,,,data,1277,HAND
91,hand-91,,,data,1277,HAND
92,hand-92,,,data,1277,HAND
93,hand-93,,,data,1277,HAND
94,hand-94,,,data,1277,HAND
95,hand-95,,,data,1277,HAND
96,left-1,,,data,244,LEFT
97,left-2,,,data,244,LEFT
98,left-3,,,data,244,LEFT
99,left-4,,,data,244,LEFT
100,left-5,,,data,244,LEFT
101,left-6,,,data,244,LEFT
102,left-7,,,data,244,LEFT
103,left-8,,,data,244,LEFT
104,left-9,,,data,244,LEFT
105,left-10,,,data,244,LEFT
106,left-11,,,data,244,LEFT
107,left-12,,,data,244,LEFT
108,left-13,,,data,244,LEFT
109,left-14,,,data,244,LEFT
110,left-15,,,data,244,LEFT
111,left-16,,,data,244,LEFT
112,left-17,,,data,244,LEFT
113,left-18,,,data,244,LEFT
114,left-19,,,data,244,LEFT
115,left-20,,,data,244,LEFT
116,left-21,,,data,244,LEFT
117,left-22,,,data,244,LEFT
118,left-23,,,data,244,LEFT
119,left-24,,,data,244,LEFT
120,left-25,,,data,244,LEFT
121,left-26,,,data,244,LEFT
122,left-27,,,data,244,LEFT
123,left-28,,,data,244,LEFT
124,left-29,,,data,244,LEFT
125,left-30,,,data,244,LEFT
126,left-31,,,data,244,LEFT
127,left-32,,,data,244,LEFT
128,left-33,,,data,244,LEFT
129,left-34,,,data,244,LEFT
130,left-35,,,data,244,LEFT
131,left-36,,,data,244,LEFT
132,left-37,,,data,244,LEFT
133,left-38,,,data,244,LEFT
134,left-39,,,data,244,LEFT
135,left-40,,,data,244,LEFT
136,left-41,,,data,244,LEFT
137,left-42,,,data,244,LEFT
138,left-43,,,data,244,LEFT
139,left-44,,,data,244,LEFT
140,left-45,,,data,244,LEFT
141,left-46,,,data,244,LEFT
142,left-47,,,data,244,LEFT
143,left-48,,,data,244,LEFT
144,left-49,,,data,244,LEFT
145,left-50,,,data,244,LEFT
146,left-51,,,data,244,LEFT
147,left-52,,,data,244,LEFT
148,left-53,,,data,244,LEFT
149,left-54,,,data,244,LEFT
150,left-55,,,data,244,LEFT
151,left-56,,,data,244,LEFT
152,left-57,,,data,244,LEFT
153,left-58,,,data,244,LEFT
154,left-59,,,data,244,LEFT
155,left-60,,,data,244,LEFT
156,left-61,,,data,244,LEFT
157,left-62,,,data,244,LEFT
158,left-63,,,data,244,LEFT
159,left-64,,,data,244,LEFT
160,left-65,,,data,244,LEFT
161,left-66,,,data,244,LEFT
162,left-67,,,data,244,LEFT
163,left-68,,,data,244,LEFT
164,left-69,,,data,244,LEFT
165,left-70,,,data,244,LEFT
166,left-71,,,data,244,LEFT
167,left-72,,,data,244,LEFT
168,left-73,,,data,244,LEFT
169,left-74,,,data,244,LEFT
170,left-75,,,data,244,LEFT
171,left-76,,,data,244,LEFT
172,left-77,,,data,244,LEFT
173,left-78,,,data,244,LEFT
174,left-79,,,data,244,LEFT
175,left-80,,,data,244,LEFT
176,left-81,,,data,244,LEFT
177,left-82,,,data,244,LEFT
178,left-83,,,data,244,LEFT
179,left-84,,,data,244,LEFT
180,left-85,,,data,244,LEFT
181,left-86,,,data,244,LEFT
182,left-87,,,data,244,LEFT
183,left-88,,,data,244,LEFT
184,left-89,,,data,244,LEFT
185,left-90,,,data,244,LEFT
186,left-91,,,data,244,LEFT
187,left-92,,,data,244,LEFT
188,left-93,,,data,244,LEFT
189,left-94,,,data,244,LEFT
190,left-95,,,data,244,LEFT
191,left-96,,,data,244,LEFT
192,left-97,,,data,244,LEFT
193,left-98,,,data,244,LEFT
194,left-99,,,data,244,LEFT
195,left-100,,,data,244,LEFT
196,left-101,,,data,244,LEFT
197,left-102,,,data,244,LEFT
198,left-103,,,data,244,LEFT
199,left-104,,,data,244,LEFT
200,left-105,,,data,244,LEFT
201,left-106,,,data,244,LEFT
202,left-107,,,data,244,LEFT
203,left-108,,,data,244,LEFT
204,left-109,,,data,244,LEFT
205,left-110,,,data,244,LEFT
206,left-111,,,data,244,LEFT
207,left-112,,,data,244,LEFT
208,left-113,,,data,244,LEFT
209,left-114,,,data,244,LEFT
210,left-115,,,data,244,LEFT
211,left-116,,,data,244,LEFT
212,left-117,,,data,244,LEFT
213,left-118,,,data,244,LEFT
214,left-119,,,data,244,LEFT
215,left-120,,,data,244,LEFT
216,left-121,,,data,244,LEFT
217,left-122,,,data,244,LEFT
218,left-123,,,data,244,LEFT
219,left-124,,,data,244,LEFT
220,left-125,,,data,244,LEFT
221,left-126,,,data,244,LEFT
222,left-127,,,data,244,LEFT
223,left-128,,,data,244,LEFT
224,left-129,,,data,244,LEFT
225,left-130,,,data,244,LEFT
226,left-131,,,data,244,LEFT
227,left-132,,,data,244,LEFT
228,left-133,,,data,244,LEFT
229,left-134,,,data,244,LEFT
230,left-135,,,data,244,LEFT
231,left-136,,,data,244,LEFT
232,left-137,,,data,244,LEFT
233,left-138,,,data,244,LEFT
234,left-139,,,data,244,LEFT
235,right-1,,,data,1019,RIGHT
236,right-2,,,data,1019,RIGHT
237,right-3,,,data,1019,RIGHT
238,right-4,,,data,1019,RIGHT
239,right-5,,,data,1019,RIGHT
240,right-6,,,data,1019,RIGHT
241,right-7,,,data,1019,RIGHT
242,right-8,,,data,1019,RIGHT
243,right-9,,,data,1019,RIGHT
244,right-10,,,data,1019,RIGHT
245,right-11,,,data,1019,RIGHT
246,right-12,,,data,1019,RIGHT
247,right-13,,,data,1019,RIGHT
248,right-14,,,data,1019,RIGHT
249,right-15,,,data,1019,RIGHT
250,right-16,,,data,1019,RIGHT
251,right-17,,,data,1019,RIGHT
252,right-18,,,data,1019,RIGHT
253,right-19,,,data,1019,RIGHT
254,right-20,,,data,1019,RIGHT
255,right-21,,,data,1019,RIGHT
256,right-22,,,data,1019,RIGHT
257,right-23,,,data,1019,RIGHT
258,right-24,,,data,1019,RIGHT
259,right-25,,,data,1019,RIGHT
260,right-26,,,data,1019,RIGHT
261,right-27,,,data,1019,RIGHT
262,right-28,,,data,1019,RIGHT
263,right-29,,,data,1019,RIGHT
264,right-30,,,data,1019,RIGHT
265,right-31,,,data,1019,RIGHT
266,right-32,,,data,1019,RIGHT
267,right-33,,,data,1019,RIGHT
268,right-34,,,data,1019,RIGHT
269,right-35,,,data,1019,RIGHT
270,right-36,,,data,1019,RIGHT
271,right-37,,,data,1019,RIGHT
272,right-38,,,data,1019,RIGHT
273,right-39,,,data,1019,RIGHT
274,right-40,,,data,1019,RIGHT
275,right-41,,,data,1019,RIGHT
276,right-42,,,data,1019,RIGHT
277,right-43,,,data,1019,RIGHT
278,right-44,,,data,1019,RIGHT
279,right-45,,,data,1019,RIGHT
280,right-46,,,data,1019,RIGHT
281,right-47,,,data,1019,RIGHT
282,right-48,,,data,1019,RIGHT
283,right-49,,,data,1019,RIGHT
284,right-50,,,data,1019,RIGHT
285,right-51,,,data,1019,RIGHT
286,right-52,,,data,1019,RIGHT
287,right-53,,,data,1019,RIGHT
288,right-54,,,data,1019,RIGHT
289,right-55,,,data,1019,RIGHT
290,right-56,,,data,1019,RIGHT
291,right-57,,,data,1019,RIGHT
292,right-58,,,data,1019,RIGHT
293,right-59,,,data,1019,RIGHT
294,right-60,,,data,1019,RIGHT
295,right-61,,,data,1019,RIGHT
296,right-62,,,data,1019,RIGHT
297,right-63,,,data,1019,RIGHT
298,right-64,,,data,1019,RIGHT
299,right-65,,,data,1019,RIGHT
300,right-66,,,data,1019,RIGHT
301,right-67,,,data,1019,RIGHT
302,right-68,,,data,1019,RIGHT
303,right-69,,,data,1019,RIGHT
304,right-70,,,data,1019,RIGHT
305,right-71,,,data,1019,RIGHT
306,right-72,,,data,1019,RIGHT
307,right-73,,,data,1019,RIGHT
308,right-74,,,data,1019,RIGHT
309,right-75,,,data,1019,RIGHT
310,right-76,,,data,1019,RIGHT
311,right-77,,,data,1019,RIGHT
312,right-78,,,data,1019,RIGHT
313,right-79,,,data,1019,RIGHT
314,right-80,,,data,1019,RIGHT
315,right-81,,,data,1019,RIGHT
316,right-82,,,data,1019,RIGHT
317,right-83,,,data,1019,RIGHT
318,right-84,,,data,1019,RIGHT
319,right-85,,,data,1019,RIGHT
320,right-86,,,data,1019,RIGHT
321,right-87,,,data,1019,RIGHT
322,right-88,,,data,1019,RIGHT
323,right-89,,,data,1019,RIGHT
324,right-90,,,data,1019,RIGHT
325,right-91,,,data,1019,RIGHT
326,right-92,,,data,1019,RIGHT
327,right-93,,,data,1019,RIGHT
328,right-94,,,data,1019,RIGHT
329,right-95,,,data,1019,RIGHT
330,right-96,,,data,1019,RIGHT
