ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,,summary.trees,true,summary,bayesian,millennia,gray2009
posterior-1,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-2,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-3,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-4,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-5,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-6,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-7,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-8,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-9,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-10,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-11,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-12,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-13,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-14,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-15,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-16,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-17,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-18,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-19,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-20,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-21,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-22,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-23,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-24,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-25,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-26,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-27,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-28,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-29,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-30,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-31,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-32,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-33,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-34,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-35,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-36,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-37,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-38,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-39,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-40,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-41,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-42,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-43,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-44,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-45,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-46,,posterior.trees,true,sample,bayesian,millennia,gray2009
