Site,Label,concepticonReference,Concepticon_Gloss
1,hand-1,1277,HAND
2,hand-2,1277,HAND
3,hand-3,1277,HAND
4,hand-4,1277,HAND
5,hand-5,1277,HAND
6,hand-6,1277,HAND
7,hand-7,1277,HAND
8,hand-8,1277,HAND
9,hand-9,1277,HAND
10,hand-10,1277,HAND
11,hand-11,1277,HAND
12,hand-12,1277,HAND
13,hand-13,1277,HAND
14,hand-14,1277,HAND
15,hand-15,1277,HAND
16,hand-16,1277,HAND
17,hand-17,1277,HAND
18,hand-18,1277,HAND
19,hand-19,1277,HAND
20,hand-20,1277,HAND
21,hand-21,1277,HAND
22,hand-22,1277,HAND
23,hand-23,1277,HAND
24,hand-24,1277,HAND
25,hand-25,1277,HAND
26,hand-26,1277,HAND
27,hand-27,1277,HAND
28,hand-28,1277,HAND
29,hand-29,1277,HAND
30,hand-30,1277,HAND
31,hand-31,1277,HAND
32,hand-32,1277,HAND
33,hand-33,1277,HAND
34,hand-34,1277,HAND
35,hand-35,1277,HAND
36,hand-36,1277,HAND
37,hand-37,1277,HAND
38,hand-38,1277,HAND
39,hand-39,1277,HAND
40,hand-40,1277,HAND
41,hand-41,1277,HAND
42,hand-42,1277,HAND
43,hand-43,1277,HAND
44,hand-44,1277,HAND
45,hand-45,1277,HAND
46,hand-46,1277,HAND
47,hand-47,1277,HAND
48,hand-48,1277,HAND
49,hand-49,1277,HAND
50,hand-50,1277,HAND
51,hand-51,1277,HAND
52,hand-52,1277,HAND
53,hand-53,1277,HAND
54,hand-54,1277,HAND
55,hand-55,1277,HAND
56,hand-56,1277,HAND
57,hand-57,1277,HAND
58,hand-58,1277,HAND
59,hand-59,1277,HAND
60,hand-60,1277,HAND
61,hand-61,1277,HAND
62,hand-62,1277,HAND
63,hand-63,1277,HAND
64,hand-64,1277,HAND
65,hand-65,1277,HAND
66,hand-66,1277,HAND
67,hand-67,1277,HAND
68,hand-68,1277,HAND
69,hand-69,1277,HAND
70,hand-70,1277,HAND
71,hand-71,1277,HAND
72,hand-72,1277,HAND
73,hand-73,1277,HAND
74,hand-74,1277,HAND
75,hand-75,1277,HAND
76,hand-76,1277,HAND
77,hand-77,1277,HAND
78,hand-78,1277,HAND
79,hand-79,1277,HAND
80,hand-80,1277,HAND
81,hand-81,1277,HAND
82,hand-82,1277,HAND
83,hand-83,1277,HAND
84,hand-84,1277,HAND
85,hand-85,1277,HAND
86,hand-86,1277,HAND
87,hand-87,1277,HAND
88,hand-88,1277,HAND
89,hand-89,1277,HAND
90,hand-90,1277,HAND
91,hand-91,1277,HAND
92,hand-92,1277,HAND
93,hand-93,1277,HAND
94,hand-94,1277,HAND
95,hand-95,1277,HAND
96,left-1,244,LEFT
97,left-2,244,LEFT
98,left-3,244,LEFT
99,left-4,244,LEFT
100,left-5,244,LEFT
101,left-6,244,LEFT
102,left-7,244,LEFT
103,left-8,244,LEFT
104,left-9,244,LEFT
105,left-10,244,LEFT
106,left-11,244,LEFT
107,left-12,244,LEFT
108,left-13,244,LEFT
109,left-14,244,LEFT
110,left-15,244,LEFT
111,left-16,244,LEFT
112,left-17,244,LEFT
113,left-18,244,LEFT
114,left-19,244,LEFT
115,left-20,244,LEFT
116,left-21,244,LEFT
117,left-22,244,LEFT
118,left-23,244,LEFT
119,left-24,244,LEFT
120,left-25,244,LEFT
121,left-26,244,LEFT
122,left-27,244,LEFT
123,left-28,244,LEFT
124,left-29,244,LEFT
125,left-30,244,LEFT
126,left-31,244,LEFT
127,left-32,244,LEFT
128,left-33,244,LEFT
129,left-34,244,LEFT
130,left-35,244,LEFT
131,left-36,244,LEFT
132,left-37,244,LEFT
133,left-38,244,LEFT
134,left-39,244,LEFT
135,left-40,244,LEFT
136,left-41,244,LEFT
137,left-42,244,LEFT
138,left-43,244,LEFT
139,left-44,244,LEFT
140,left-45,244,LEFT
141,left-46,244,LEFT
142,left-47,244,LEFT
143,left-48,244,LEFT
144,left-49,244,LEFT
145,left-50,244,LEFT
146,left-51,244,LEFT
147,left-52,244,LEFT
148,left-53,244,LEFT
149,left-54,244,LEFT
150,left-55,244,LEFT
151,left-56,244,LEFT
152,left-57,244,LEFT
153,left-58,244,LEFT
154,left-59,244,LEFT
155,left-60,244,LEFT
156,left-61,244,LEFT
157,left-62,244,LEFT
158,left-63,244,LEFT
159,left-64,244,LEFT
160,left-65,244,LEFT
161,left-66,244,LEFT
162,left-67,244,LEFT
163,left-68,244,LEFT
164,left-69,244,LEFT
165,left-70,244,LEFT
166,left-71,244,LEFT
167,left-72,244,LEFT
168,left-73,244,LEFT
169,left-74,244,LEFT
170,left-75,244,LEFT
171,left-76,244,LEFT
172,left-77,244,LEFT
173,left-78,244,LEFT
174,left-79,244,LEFT
175,left-80,244,LEFT
176,left-81,244,LEFT
177,left-82,244,LEFT
178,left-83,244,LEFT
179,left-84,244,LEFT
180,left-85,244,LEFT
181,left-86,244,LEFT
182,left-87,244,LEFT
183,left-88,244,LEFT
184,left-89,244,LEFT
185,left-90,244,LEFT
186,left-91,244,LEFT
187,left-92,244,LEFT
188,left-93,244,LEFT
189,left-94,244,LEFT
190,left-95,244,LEFT
191,left-96,244,LEFT
192,left-97,244,LEFT
193,left-98,244,LEFT
194,left-99,244,LEFT
195,left-100,244,LEFT
196,left-101,244,LEFT
197,left-102,244,LEFT
198,left-103,244,LEFT
199,left-104,244,LEFT
200,left-105,244,LEFT
201,left-106,244,LEFT
202,left-107,244,LEFT
203,left-108,244,LEFT
204,left-109,244,LEFT
205,left-110,244,LEFT
206,left-111,244,LEFT
207,left-112,244,LEFT
208,left-113,244,LEFT
209,left-114,244,LEFT
210,left-115,244,LEFT
211,left-116,244,LEFT
212,left-117,244,LEFT
213,left-118,244,LEFT
214,left-119,244,LEFT
215,left-120,244,LEFT
216,left-121,244,LEFT
217,left-122,244,LEFT
218,left-123,244,LEFT
219,left-124,244,LEFT
220,left-125,244,LEFT
221,left-126,244,LEFT
222,left-127,244,LEFT
223,left-128,244,LEFT
224,left-129,244,LEFT
225,left-130,244,LEFT
226,left-131,244,LEFT
227,left-132,244,LEFT
228,left-133,244,LEFT
229,left-134,244,LEFT
230,left-135,244,LEFT
231,left-136,244,LEFT
232,left-137,244,LEFT
233,left-138,244,LEFT
234,left-139,244,LEFT
235,right-1,1019,RIGHT
236,right-2,1019,RIGHT
237,right-3,1019,RIGHT
238,right-4,1019,RIGHT
239,right-5,1019,RIGHT
240,right-6,1019,RIGHT
241,right-7,1019,RIGHT
242,right-8,1019,RIGHT
243,right-9,1019,RIGHT
244,right-10,1019,RIGHT
245,right-11,1019,RIGHT
246,right-12,1019,RIGHT
247,right-13,1019,RIGHT
248,right-14,1019,RIGHT
249,right-15,1019,RIGHT
250,right-16,1019,RIGHT
251,right-17,1019,RIGHT
252,right-18,1019,RIGHT
253,right-19,1019,RIGHT
254,right-20,1019,RIGHT
255,right-21,1019,RIGHT
256,right-22,1019,RIGHT
257,right-23,1019,RIGHT
258,right-24,1019,RIGHT
259,right-25,1019,RIGHT
260,right-26,1019,RIGHT
261,right-27,1019,RIGHT
262,right-28,1019,RIGHT
263,right-29,1019,RIGHT
264,right-30,1019,RIGHT
265,right-31,1019,RIGHT
266,right-32,1019,RIGHT
267,right-33,1019,RIGHT
268,right-34,1019,RIGHT
269,right-35,1019,RIGHT
270,right-36,1019,RIGHT
271,right-37,1019,RIGHT
272,right-38,1019,RIGHT
273,right-39,1019,RIGHT
274,right-40,1019,RIGHT
275,right-41,1019,RIGHT
276,right-42,1019,RIGHT
277,right-43,1019,RIGHT
278,right-44,1019,RIGHT
279,right-45,1019,RIGHT
280,right-46,1019,RIGHT
281,right-47,1019,RIGHT
282,right-48,1019,RIGHT
283,right-49,1019,RIGHT
284,right-50,1019,RIGHT
285,right-51,1019,RIGHT
286,right-52,1019,RIGHT
287,right-53,1019,RIGHT
288,right-54,1019,RIGHT
289,right-55,1019,RIGHT
290,right-56,1019,RIGHT
291,right-57,1019,RIGHT
292,right-58,1019,RIGHT
293,right-59,1019,RIGHT
294,right-60,1019,RIGHT
295,right-61,1019,RIGHT
296,right-62,1019,RIGHT
297,right-63,1019,RIGHT
298,right-64,1019,RIGHT
299,right-65,1019,RIGHT
300,right-66,1019,RIGHT
301,right-67,1019,RIGHT
302,right-68,1019,RIGHT
303,right-69,1019,RIGHT
304,right-70,1019,RIGHT
305,right-71,1019,RIGHT
306,right-72,1019,RIGHT
307,right-73,1019,RIGHT
308,right-74,1019,RIGHT
309,right-75,1019,RIGHT
310,right-76,1019,RIGHT
311,right-77,1019,RIGHT
312,right-78,1019,RIGHT
313,right-79,1019,RIGHT
314,right-80,1019,RIGHT
315,right-81,1019,RIGHT
316,right-82,1019,RIGHT
317,right-83,1019,RIGHT
318,right-84,1019,RIGHT
319,right-85,1019,RIGHT
320,right-86,1019,RIGHT
321,right-87,1019,RIGHT
322,right-88,1019,RIGHT
323,right-89,1019,RIGHT
324,right-90,1019,RIGHT
325,right-91,1019,RIGHT
326,right-92,1019,RIGHT
327,right-93,1019,RIGHT
328,right-94,1019,RIGHT
329,right-95,1019,RIGHT
330,right-96,1019,RIGHT
331,right-97,1019,RIGHT
332,right-98,1019,RIGHT
333,right-99,1019,RIGHT
334,right-100,1019,RIGHT
335,right-101,1019,RIGHT
336,right-102,1019,RIGHT
337,right-103,1019,RIGHT
338,right-104,1019,RIGHT
339,right-105,1019,RIGHT
